order_item_id,order_id,product_id,quantity,unit_price
1,1,126,1,309.9
2,1,158,2,260.21
3,1,193,2,98.94
4,1,131,3,1758.2
5,2,114,2,307.91
6,2,147,3,1617.31
7,2,117,3,1071.71
8,3,178,1,305.2
9,3,118,3,542.8
10,4,186,3,248.97
11,4,160,3,250.86
12,4,181,3,431.55
13,5,122,3,997.06
14,5,166,2,401.23
15,5,137,1,2458.33
16,6,147,2,1530.67
17,6,192,2,43.31
18,7,154,1,749.05
19,8,198,3,71.52
20,8,168,3,194.62
21,8,156,1,810.23
22,8,121,3,508.72
23,8,137,1,2259.13
24,9,191,2,85.3
25,9,164,1,340.6
26,10,113,1,384.39
27,10,117,2,1050.42
28,10,124,3,1258.33
29,11,156,1,859.87
30,11,153,3,722.91
31,12,118,1,570.91
32,13,197,2,58.79
33,13,146,2,991.21
34,14,130,1,569.01
35,14,152,1,1287.85
36,14,176,2,200.87
37,14,102,1,1031.19
38,15,147,3,1573.6
39,16,148,2,1086.24
40,17,198,2,71.1
41,17,119,1,521.37
42,17,187,1,467.59
43,17,136,1,1047.82
44,17,199,1,18.68
45,18,158,2,255.23
46,18,192,2,44.63
47,18,195,1,64.61
48,19,166,2,426.42
49,20,146,2,946.93
50,20,165,3,616.08
51,21,183,2,532.73
52,22,137,1,2299.79
53,23,197,2,62.54
54,23,154,1,712.78
55,23,188,1,595.55
56,24,155,1,209.17
57,25,191,2,81.0
58,25,106,2,1263.22
59,25,160,3,251.44
60,26,163,1,710.61
61,26,147,2,1461.72
62,26,132,1,2246.15
63,26,161,1,789.15
64,26,115,1,1072.85
65,27,152,3,1357.34
66,27,147,1,1488.92
67,27,137,1,2343.84
68,27,150,3,715.07
69,28,188,3,630.75
70,28,162,1,490.24
71,28,190,3,206.88
72,29,119,1,535.14
73,29,123,2,1037.08
74,29,149,1,563.81
75,30,176,2,224.97
76,30,122,2,1124.25
77,30,121,3,554.81
78,30,152,3,1362.26
79,30,198,1,71.63
80,31,118,2,549.34
81,31,163,3,670.58
82,32,104,2,281.68
83,32,117,2,1017.97
84,32,126,1,320.61
85,32,194,1,102.65
86,32,125,1,1148.09
87,33,159,3,541.36
88,33,181,2,427.29
89,33,191,3,80.55
90,33,159,3,504.88
91,34,121,2,506.75
92,35,148,3,1086.63
93,35,176,1,207.16
94,35,152,3,1391.84
95,36,183,3,541.9
96,36,179,1,239.37
97,36,110,1,1057.38
98,36,197,3,55.57
99,36,105,3,1368.53
100,37,101,3,1069.74
101,37,135,2,1333.36
102,37,158,3,265.5
103,38,182,3,420.24
104,38,143,2,581.1
105,38,168,1,193.55
106,39,168,3,219.8
107,39,135,1,1377.21
108,39,141,3,911.06
109,39,165,1,637.02
110,40,143,3,557.7
111,40,162,2,516.03
112,40,195,3,68.37
113,41,116,1,295.78
114,41,177,3,264.15
115,42,133,1,2084.4
116,42,187,3,469.97
117,42,168,3,199.29
118,42,150,2,796.74
119,43,103,2,528.09
120,44,140,3,2073.33
121,45,160,2,248.73
122,46,115,3,1084.44
123,46,155,1,225.09
124,46,108,3,1101.36
125,46,101,2,1012.53
126,46,162,2,481.45
127,47,135,3,1295.47
128,47,197,3,55.69
129,47,193,2,96.19
130,47,133,3,2341.9
131,48,191,1,81.7
132,48,150,1,790.38
133,48,171,1,28.82
134,48,175,3,113.93
135,49,107,1,940.93
136,49,103,1,562.58
137,50,136,1,1006.29
138,50,159,1,533.72
139,50,154,2,670.85
140,51,168,3,198.33
141,52,138,2,834.21
142,53,145,2,1488.42
143,53,158,2,243.42
144,54,168,3,210.61
145,54,195,2,65.34
146,54,136,3,1002.85
147,54,169,2,159.92
148,55,173,2,153.42
149,56,160,1,245.36
150,56,166,1,411.49
151,57,160,3,249.36
152,57,177,3,253.31
153,58,101,1,1043.72
154,59,148,1,1064.69
155,59,137,2,2299.5
156,59,144,1,2067.28
157,59,158,3,271.6
158,59,152,3,1297.15
159,60,180,3,45.53
160,60,104,3,288.97
161,61,131,2,1799.9
162,61,145,3,1369.46
163,61,126,3,303.79
164,61,124,3,1173.77
165,62,174,3,76.81
166,62,128,2,391.35
167,62,143,3,614.93
168,62,105,1,1326.6
169,63,161,1,706.74
170,63,127,1,455.76
171,63,121,2,519.38
172,63,183,1,549.37
173,64,179,2,228.97
174,65,185,2,532.22
175,66,121,1,498.44
176,66,162,1,476.68
177,66,187,2,511.87
178,66,132,3,2371.57
179,66,179,3,219.5
180,67,176,3,205.95
181,67,199,1,21.38
182,67,155,1,229.13
183,67,126,1,320.52
184,67,123,3,924.04
185,68,139,3,2460.25
186,68,121,1,516.94
187,68,120,2,640.28
188,68,150,3,765.21
189,68,133,3,2073.23
190,69,121,3,534.13
191,69,126,1,308.71
192,69,115,1,1075.27
193,69,136,1,1093.6
194,70,113,2,368.58
195,70,193,1,110.8
196,70,145,2,1450.75
197,70,133,3,2066.23
